origin,destination,airline_code,airline_name,flight_number,travel_date,departure_time,arrival_time,booking_window_days,collection_date,collection_mode,source_name,source_url,raw_displayed_price_text,raw_total_fare,base_fare,udf_fee,asf_fee,gst_tax,yq_surcharge,convenience_fee,comparable_fare,cabin_class,fare_family
DEL,BOM,6E,IndiGo,6E125,2026-01-15,18:20:00,20:21:00,1,2026-01-14,HISTORICAL,fixture_historical,fixture://historical/DEL-BOM/6E/2026-01-15,"INR 6,714.10",6714.1,5796.49,250,30.0,289.82,347.79,0.0,6714.1,ECONOMY,Saver
DEL,BOM,6E,IndiGo,6E854,2026-01-18,06:55:00,09:34:00,7,2026-01-11,HISTORICAL,fixture_historical,fixture://historical/DEL-BOM/6E/2026-01-18,"INR 5,403.88",5403.88,4616.1,250,30.0,230.81,276.97,0.0,5403.88,ECONOMY,Saver
DEL,BOM,6E,IndiGo,6E532,2026-01-21,05:00:00,06:41:00,15,2026-01-06,HISTORICAL,fixture_historical,fixture://historical/DEL-BOM/6E/2026-01-21,"INR 4,633.89",4633.89,3922.42,250,30.0,196.12,235.35,0.0,4633.89,ECONOMY,Saver
DEL,BOM,6E,IndiGo,6E617,2026-01-24,16:00:00,18:41:00,30,2025-12-25,HISTORICAL,fixture_historical,fixture://historical/DEL-BOM/6E/2026-01-24,"INR 4,197.87",4197.87,3529.61,250,30.0,176.48,211.78,0.0,4197.87,ECONOMY,Saver
DEL,BOM,6E,IndiGo,6E765,2026-01-27,18:45:00,21:08:00,45,2025-12-13,HISTORICAL,fixture_historical,fixture://historical/DEL-BOM/6E/2026-01-27,"INR 3,741.14",3741.14,3118.14,250,30.0,155.91,187.09,0.0,3741.14,ECONOMY,Saver
DEL,BOM,6E,IndiGo,6E703,2026-01-30,09:00:00,10:50:00,1,2026-01-29,HISTORICAL,fixture_historical,fixture://historical/DEL-BOM/6E/2026-01-30,"INR 6,292.18",6292.18,5416.38,250,30.0,270.82,324.98,0.0,6292.18,ECONOMY,Saver
DEL,BOM,6E,IndiGo,6E448,2026-02-02,09:10:00,11:07:00,7,2026-01-26,HISTORICAL,fixture_historical,fixture://historical/DEL-BOM/6E/2026-02-02,"INR 5,811.27",5811.27,4983.12,250,30.0,249.16,298.99,0.0,5811.27,ECONOMY,Saver
DEL,BOM,6E,IndiGo,6E444,2026-02-05,06:05:00,08:23:00,15,2026-01-21,HISTORICAL,fixture_historical,fixture://historical/DEL-BOM/6E/2026-02-05,"INR 5,283.05",5283.05,4507.25,250,30.0,225.36,270.44,0.0,5283.05,ECONOMY,Saver
DEL,BOM,6E,IndiGo,6E967,2026-02-08,10:50:00,12:53:00,30,2026-01-09,HISTORICAL,fixture_historical,fixture://historical/DEL-BOM/6E/2026-02-08,"INR 4,117.84",4117.84,3457.51,250,30.0,172.88,207.45,0.0,4117.84,ECONOMY,Saver
DEL,BOM,6E,IndiGo,6E847,2026-02-11,13:45:00,15:30:00,45,2025-12-28,HISTORICAL,fixture_historical,fixture://historical/DEL-BOM/6E/2026-02-11,"INR 4,095.05",4095.05,3436.98,250,30.0,171.85,206.22,0.0,4095.05,ECONOMY,Saver
