reference_date,reference_index,methodology,source,data_mode,reference_type
2026-01-15,100.15,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-16,100.30,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-17,100.45,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-18,100.60,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-19,100.75,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-20,100.90,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-21,101.05,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-22,101.20,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-23,101.35,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-24,101.50,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-25,101.65,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-26,101.80,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-27,101.95,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-28,102.10,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-29,102.25,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-30,102.40,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-01-31,102.55,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-02-01,102.70,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-02-02,102.85,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-02-03,103.00,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-02-04,103.15,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-02-05,103.30,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-02-06,103.45,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-02-07,103.60,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-02-08,103.75,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-02-09,103.90,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-02-10,104.05,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-02-11,104.20,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-02-12,104.35,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
2026-02-13,104.50,JEVONS,DEMO_REFERENCE_BASELINE,HISTORICAL,DEMO / SYNTHETIC
