origin,destination,airline_code,airline_name,flight_number,travel_date,departure_time,arrival_time,booking_window_days,collection_date,collection_mode,source_name,source_url,raw_displayed_price_text,raw_total_fare,base_fare,udf_fee,asf_fee,gst_tax,yq_surcharge,convenience_fee,comparable_fare,cabin_class,fare_family
DEL,BOM,6E,IndiGo,6E631,2026-03-01,09:05:00,11:07:00,1,2026-02-28,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BOM/6E/2026-03-01,"INR 6,297.26",6297.26,5420.95,250,30.0,271.05,325.26,0.0,6297.26,ECONOMY,Saver
DEL,BOM,6E,IndiGo,6E664,2026-03-01,09:10:00,12:00:00,7,2026-02-22,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BOM/6E/2026-03-01,"INR 5,380.79",5380.79,4595.3,250,30.0,229.77,275.72,0.0,5380.79,ECONOMY,Saver
DEL,BOM,6E,IndiGo,6E646,2026-03-01,06:45:00,09:37:00,15,2026-02-14,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BOM/6E/2026-03-01,"INR 4,794.93",4794.93,4067.5,250,30.0,203.38,244.05,0.0,4794.93,ECONOMY,Saver
DEL,BOM,6E,IndiGo,6E694,2026-03-01,07:10:00,10:04:00,30,2026-01-30,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BOM/6E/2026-03-01,"INR 4,165.04",4165.04,3500.04,250,30.0,175.0,210.0,0.0,4165.04,ECONOMY,Saver
DEL,BOM,6E,IndiGo,6E719,2026-03-01,10:50:00,12:25:00,45,2026-01-15,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BOM/6E/2026-03-01,"INR 3,988.78",3988.78,3341.25,250,30.0,167.06,200.47,0.0,3988.78,ECONOMY,Saver
DEL,BOM,AI,AirIndia,AI129,2026-03-01,06:00:00,08:52:00,1,2026-02-28,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BOM/AI/2026-03-01,"INR 8,225.45",8225.45,7158.07,250,30.0,357.9,429.48,0.0,8225.45,ECONOMY,Saver
DEL,BOM,AI,AirIndia,AI371,2026-03-01,17:15:00,19:58:00,7,2026-02-22,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BOM/AI/2026-03-01,"INR 6,992.55",6992.55,6047.34,250,30.0,302.37,362.84,0.0,6992.55,ECONOMY,Saver
DEL,BOM,AI,AirIndia,AI754,2026-03-01,05:40:00,08:30:00,15,2026-02-14,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BOM/AI/2026-03-01,"INR 5,799.74",5799.74,4972.74,250,30.0,248.64,298.36,0.0,5799.74,ECONOMY,Saver
DEL,BOM,AI,AirIndia,AI757,2026-03-01,09:40:00,11:41:00,30,2026-01-30,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BOM/AI/2026-03-01,"INR 5,238.97",5238.97,4467.54,250,30.0,223.38,268.05,0.0,5238.97,ECONOMY,Saver
DEL,BOM,AI,AirIndia,AI801,2026-03-01,11:20:00,13:48:00,45,2026-01-15,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BOM/AI/2026-03-01,"INR 4,856.36",4856.36,4122.85,250,30.0,206.14,247.37,0.0,4856.36,ECONOMY,Saver
DEL,BLR,6E,IndiGo,6E161,2026-03-01,07:40:00,10:03:00,1,2026-02-28,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BLR/6E/2026-03-01,"INR 6,981.36",6981.36,6037.26,250,30.0,301.86,362.24,0.0,6981.36,ECONOMY,Saver
DEL,BLR,6E,IndiGo,6E308,2026-03-01,10:50:00,12:38:00,7,2026-02-22,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BLR/6E/2026-03-01,"INR 6,391.76",6391.76,5506.09,250,30.0,275.3,330.37,0.0,6391.76,ECONOMY,Saver
DEL,BLR,6E,IndiGo,6E835,2026-03-01,10:25:00,12:46:00,15,2026-02-14,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BLR/6E/2026-03-01,"INR 5,448.22",5448.22,4656.06,250,30.0,232.8,279.36,0.0,5448.22,ECONOMY,Saver
DEL,BLR,6E,IndiGo,6E479,2026-03-01,14:45:00,16:28:00,30,2026-01-30,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BLR/6E/2026-03-01,"INR 4,691.65",4691.65,3974.46,250,30.0,198.72,238.47,0.0,4691.65,ECONOMY,Saver
DEL,BLR,6E,IndiGo,6E577,2026-03-01,06:20:00,08:47:00,45,2026-01-15,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BLR/6E/2026-03-01,"INR 4,315.56",4315.56,3635.64,250,30.0,181.78,218.14,0.0,4315.56,ECONOMY,Saver
DEL,BLR,AI,AirIndia,AI199,2026-03-01,05:20:00,07:39:00,1,2026-02-28,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BLR/AI/2026-03-01,"INR 8,563.23",8563.23,7462.37,250,30.0,373.12,447.74,0.0,8563.23,ECONOMY,Saver
DEL,BLR,AI,AirIndia,AI528,2026-03-01,08:10:00,10:21:00,7,2026-02-22,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BLR/AI/2026-03-01,"INR 8,061.06",8061.06,7009.96,250,30.0,350.5,420.6,0.0,8061.06,ECONOMY,Saver
DEL,BLR,AI,AirIndia,AI838,2026-03-01,10:15:00,12:05:00,15,2026-02-14,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BLR/AI/2026-03-01,"INR 7,117.32",7117.32,6159.75,250,30.0,307.99,369.58,0.0,7117.32,ECONOMY,Saver
DEL,BLR,AI,AirIndia,AI627,2026-03-01,13:40:00,15:49:00,30,2026-01-30,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BLR/AI/2026-03-01,"INR 5,904.80",5904.8,5067.39,250,30.0,253.37,304.04,0.0,5904.8,ECONOMY,Saver
DEL,BLR,AI,AirIndia,AI192,2026-03-01,11:45:00,14:13:00,45,2026-01-15,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-BLR/AI/2026-03-01,"INR 5,264.91",5264.91,4490.91,250,30.0,224.55,269.45,0.0,5264.91,ECONOMY,Saver
BOM,BLR,6E,IndiGo,6E320,2026-03-01,16:25:00,18:01:00,1,2026-02-28,SYNTHETIC,fixture_synthetic,fixture://synthetic/BOM-BLR/6E/2026-03-01,"INR 4,784.09",4784.09,4062.25,245,30.0,203.11,243.73,0.0,4784.09,ECONOMY,Saver
BOM,BLR,6E,IndiGo,6E606,2026-03-01,16:55:00,19:51:00,7,2026-02-22,SYNTHETIC,fixture_synthetic,fixture://synthetic/BOM-BLR/6E/2026-03-01,"INR 3,592.17",3592.17,2988.44,245,30.0,149.42,179.31,0.0,3592.17,ECONOMY,Saver
BOM,BLR,6E,IndiGo,6E649,2026-03-01,05:05:00,07:30:00,15,2026-02-14,SYNTHETIC,fixture_synthetic,fixture://synthetic/BOM-BLR/6E/2026-03-01,"INR 3,368.37",3368.37,2786.82,245,30.0,139.34,167.21,0.0,3368.37,ECONOMY,Saver
BOM,BLR,6E,IndiGo,6E370,2026-03-01,18:25:00,20:46:00,30,2026-01-30,SYNTHETIC,fixture_synthetic,fixture://synthetic/BOM-BLR/6E/2026-03-01,"INR 2,849.84",2849.84,2319.68,245,30.0,115.98,139.18,0.0,2849.84,ECONOMY,Saver
BOM,BLR,6E,IndiGo,6E510,2026-03-01,05:50:00,08:31:00,45,2026-01-15,SYNTHETIC,fixture_synthetic,fixture://synthetic/BOM-BLR/6E/2026-03-01,"INR 2,647.24",2647.24,2137.15,245,30.0,106.86,128.23,0.0,2647.24,ECONOMY,Saver
BOM,BLR,AI,AirIndia,AI666,2026-03-01,09:05:00,11:24:00,1,2026-02-28,SYNTHETIC,fixture_synthetic,fixture://synthetic/BOM-BLR/AI/2026-03-01,"INR 5,063.97",5063.97,4314.39,245,30.0,215.72,258.86,0.0,5063.97,ECONOMY,Saver
BOM,BLR,AI,AirIndia,AI882,2026-03-01,14:20:00,17:09:00,7,2026-02-22,SYNTHETIC,fixture_synthetic,fixture://synthetic/BOM-BLR/AI/2026-03-01,"INR 4,566.96",4566.96,3866.63,245,30.0,193.33,232.0,0.0,4566.96,ECONOMY,Saver
BOM,BLR,AI,AirIndia,AI221,2026-03-01,07:05:00,09:25:00,15,2026-02-14,SYNTHETIC,fixture_synthetic,fixture://synthetic/BOM-BLR/AI/2026-03-01,"INR 4,112.25",4112.25,3456.98,245,30.0,172.85,207.42,0.0,4112.25,ECONOMY,Saver
BOM,BLR,AI,AirIndia,AI447,2026-03-01,14:25:00,16:13:00,30,2026-01-30,SYNTHETIC,fixture_synthetic,fixture://synthetic/BOM-BLR/AI/2026-03-01,"INR 3,490.46",3490.46,2896.81,245,30.0,144.84,173.81,0.0,3490.46,ECONOMY,Saver
BOM,BLR,AI,AirIndia,AI621,2026-03-01,11:45:00,13:20:00,45,2026-01-15,SYNTHETIC,fixture_synthetic,fixture://synthetic/BOM-BLR/AI/2026-03-01,"INR 3,044.02",3044.02,2494.61,245,30.0,124.73,149.68,0.0,3044.02,ECONOMY,Saver
DEL,CCU,6E,IndiGo,6E240,2026-03-01,18:25:00,20:55:00,1,2026-02-28,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-CCU/6E/2026-03-01,"INR 7,366.37",7366.37,6384.11,250,30.0,319.21,383.05,0.0,7366.37,ECONOMY,Saver
DEL,CCU,6E,IndiGo,6E252,2026-03-01,16:45:00,18:32:00,7,2026-02-22,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-CCU/6E/2026-03-01,"INR 6,810.29",6810.29,5883.14,250,30.0,294.16,352.99,0.0,6810.29,ECONOMY,Saver
DEL,CCU,6E,IndiGo,6E727,2026-03-01,10:10:00,12:30:00,15,2026-02-14,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-CCU/6E/2026-03-01,"INR 5,785.18",5785.18,4959.62,250,30.0,247.98,297.58,0.0,5785.18,ECONOMY,Saver
DEL,CCU,6E,IndiGo,6E857,2026-03-01,20:20:00,23:05:00,30,2026-01-30,SYNTHETIC,fixture_synthetic,fixture://synthetic/DEL-CCU/6E/2026-03-01,"INR 5,652.74",5652.74,4840.3,250,30.0,242.02,290.42,0.0,5652.74,ECONOMY,Saver
